"original_Location","lat","lon","formatted","district","county_code","city","name","county","state","state_code","country","country_code","confidence","attribution","attribution_license","attribution_url"
"Waihe'e, Wailuku, Maui",20.9054705,-156.4869319,"Ho'okahi St. / Eha St. (to Waihe'e), Hookahi Street, Wailuku, HI 96793, United States of America",,,"Wailuku","Ho'okahi St. / Eha St. (to Waihe'e)","Maui County","Hawaii","HI","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Gijana, 150 km inland",-31.578013,28.807864,"8 Gijana Street, King Sabata Dalindyebo, South Africa",,,"King Sabata Dalindyebo",,"O.R.Tambo","Eastern Cape","EC","South Africa","za",0,"© OpenAddresses contributors","BSD-3-Clause License",
"Cooktown",-15.4726622,145.2534218,"Cooktown QLD 4895, Australia",,,"Cooktown","Cooktown",,"Queensland","QLD","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Swan River",-31.9319845,115.9190544,"Swan River, WA 6984, Australia",,,,"Swan River","City of Perth","Western Australia","WA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Oakura Beach, Taranaki",-39.117824999999996,173.9400194995007,"Oakura Beach Holiday Park, Linda Street, Ōakura 4314, New Zealand",,,"Ōakura","Oakura Beach Holiday Park","New Plymouth District","Taranaki","TKI","New Zealand","nz",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Lerner Marine Lab",-36.269236,174.798217,"Leigh Marine Lab, 160 Goat Island Road, Leigh, New Zealand",,,"Leigh","Leigh Marine Lab","Auckland","Auckland Region","AUK","New Zealand","nz",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Playa Mocambo",19.132988750000003,-96.10267512891247,"Playa Mocambo, Boca del Río, Mexico",,,"Boca del Río","Playa Mocambo","Boca del Río","Veracruz",,"Mexico","mx",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Savuli Reef",52.294415,6.769298,"Het Reef, Borne, Netherlands","Borne",,"Borne",,,"Overijssel","OV","Netherlands","nl",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,"New Smyrna Beach, New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Horn Island",-10.60618815,142.28105329264693,"Horn Island, Thursday Island, Horn, Australia","Horn",,"Thursday Island","Horn Island",,"Queensland","QLD","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Taibaisa Passage, Gau Island",-29.033042,167.954531,"Norfolk Island, Australia",,,,"Norfolk Island",,,,,"nf",1,,,"https://www.whosonfirst.org/docs/licenses/"
"Off Kisma",50.9290386,11.5872866,"Off, Weigelstraße 7, 07743 Jena, Germany","Jena-Zentrum",,"Jena","Off","Jena","Thuringia",,"Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"2 km north of Apollonia",,,,,,,,,,,,,,,,
"Fisherman’s Island near Port Moresby",32.38718,-80.68974,"Days Inn Port Royal, Port Royal, SC 29935, United States of America",,,"Port Royal","Days Inn Port Royal","Beaufort County","South Carolina","SC","United States","us",0,,"CC BY 4.0","https://www.geonames.org/datasources/"
"Aigua Blava",41.9385437,3.2158187,"Hotel Aigua Blava, Carrer Malaret, 17255 Begur, Spain",,"GI","Begur","Hotel Aigua Blava","Lower Empordà","Catalonia",,"Spain","es",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Dangerous Reef",32.707788,-17.03199,"dangerous, Serra de Água, Portugal",,,"Serra de Água",,,"Madeira",,"Portugal","pt",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Northwest of Acapulco",29.533665,-98.620064,"Northwest, San Antonio, TX, United States of America",,,"San Antonio","Northwest","Bexar County","Texas","TX","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Fairmount Park Aquarium, Philadelphia",39.9849854,-75.20737372703401,"Fairmount Park, Philadelphia, PA, United States of America",,,"Philadelphia","Fairmount Park","Philadelphia County","Pennsylvania","PA","United States","us",,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Parris Island",32.3351978,-80.6923295,"Parris Island, Port Royal, SC 29905, United States of America",,,"Port Royal","Parris Island","Beaufort County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Mississippi City",30.3818646,-89.0439248,"Mississippi City, Gulfport, MS 39501, United States of America",,,"Gulfport","Mississippi City","Harrison County","Mississippi","MS","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Little River Beach, Horry County",33.728072,-78.850723,"Little River Road, Myrtle Beach, SC, United States of America","Covenant Towers",,"Myrtle Beach","Little River Road","Horry County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Tomales Point, Marin County",38.2139865,-122.9747413,"Tomales Point Trail, Marin County, CA 94953, United States of America",,,,"Tomales Point Trail","Marin County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"North Burleigh, near Brisbane",-27.4679026,153.0190606,"Herschel Street Stop 1 near North Quay, Herschel Street, Brisbane City QLD 4000, Australia","Greater Brisbane",,"Brisbane","Herschel Street Stop 1 near North Quay","Brisbane","Queensland","QLD","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Swartklip, False Bay",49.492883,-124.349956,"False Bay, BC, Canada",,,"False Bay",,"Powell River","British Columbia","BC","Canada","ca",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Rapindik Beach, Rabaul",18.347155,-64.679527,"Haulover Beach to Beach, VI, United States of America",,,,,,"Saint John Island",,,"vi",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Delray Beach, Palm Beach County",26.4614625,-80.0728201,"Delray Beach, FL, United States of America",,,"Delray Beach",,"Palm Beach County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Bird Island, Algoa Bay",2.631579,43.681258,"Bay, Somalia",,,,"Bay",,"Bay","BY","Somalia","so",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Uga, Banaira, Milne Bay",48.85636005,103.47449744974568,"Bulgan Airport, A0902, Bulgan, Mongolia",,,"Bulgan","Bulgan Airport","Bugat","Bulgan",,"Mongolia","mn",,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"600 miles northwest of Honolulu",21.40572,-157.789396,"Kaneohe, HI, United States of America",,,"Kaneohe",,"Honolulu","Hawaii","HI","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Brunswick Heads",-28.538885,153.5483811,"Brunswick Heads NSW 2483, Australia",,,"Brunswick Heads",,,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Thursday Island Harbour, Queensland",-10.579172,142.220923,"Thursday Island, Torres, Australia","Thursday Island",,"Thursday Island",,"Torres","Queensland","QLD","Australia","au",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Colombo Harbor",42.298209,9.154845,"Colombo, Corte, France","Corte",,"Corte",,"Haute-Corse","Corsica","COR","France","fr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Cojimar",23.159807,-82.3002349817334,"Cojimar, Habana del Este, Cuba","Cojimar",,,,"Habana del Este","Havana",,"Cuba","cu",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Chain Rocks, Amanzimtoti",-30.047031,30.884025,"Amanzimtoti, eThekwini, South Africa","Ethekwini",,"Amanzimtoti",,"eThekwini","Kwazulu-Natal","NL","South Africa","za",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Virginia Beach, Princess Anne County",36.856995,-76.291794,"Virginia Beach Boulevard, Norfolk, VA, United States of America",,,"Norfolk",,"City of Norfolk","Virginia","VA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Virginia Beach, Princess Anne County",36.856995,-76.291794,"Virginia Beach Boulevard, Norfolk, VA, United States of America",,,"Norfolk",,"City of Norfolk","Virginia","VA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Kalautu Village, Baibara at the mouth of Oibada River",-10.3333,149.633,"Baibara, Abau, Papua New Guinea",,,,"Baibara","Abau","Central","CPM","Papua New Guinea","pg",0,,"CC BY 4.0","https://www.geonames.org/datasources/"
"Occupasstuxet  (Patuxent) Cove",,,,,,,,,,,,,,,,
"Budva",42.2885656,18.8419505,"Budva, Budva Municipality, Montenegro",,,"Budva","Budva","Budva Municipality",,,"Montenegro","me",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Vanagiri, Madras (Chennai), Bay of Bengal",11.44154,79.64568,"Bhuvanagiri, Cuddalore, India",,,"Bhuvanagiri",,"Cuddalore","Tamil Nadu","TN","India","in",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Chicago (Lake Michigan)",46.036654850000005,-86.61061372757752,"Chicago Lake, Garden Township, MI, United States of America",,,"Garden Township","Chicago Lake","Delta County","Michigan","MI","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Palm Beach",26.6279798,-80.4494174,"Palm Beach, FL, United States of America",,,,,"Palm Beach","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"South Padre Island",26.1036887,-97.1646938,"South Padre Island, TX 78597, United States of America",,,"South Padre Island",,"Cameron County","Texas","TX","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"near Ahvaz, 275 km from the sea",43.057318,-76.140096,"Near Northeast, Syracuse, NY, United States of America","Syracuse",,"Syracuse","Near Northeast","Onondaga County","New York","NY","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Boyup Brook",-33.8321176,116.3853069,"Boyup Brook, WA, Australia",,,"Boyup Brook",,,"Western Australia","WA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Off Royal Residence",37.094322,15.268935,"Residence Royal, Syracuse SR, Italy","Siracusa","SR","Syracuse",,"Siracusa","Sicily",,"Italy","it",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Mombasa",-4.05052,39.667169,"Mombasa, 80100, Kenya",,,"Mombasa","Mombasa","Mvita","Mombasa County",,"Kenya","ke",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Battery Beach, Durban",-29.83869055,31.03656847556592,"Battery Beach, Stamford Hill, Durban, eThekwini Metropolitan Municipality, South Africa",,,"Durban","Battery Beach","eThekwini Metropolitan Municipality","KwaZulu-Natal","NL","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Off Charleston",32.8719871,-80.0174794,"Saks Off 5th, 4840 Tanger Outlet Boulevard, North Charleston, SC 29418, United States of America",,,"North Charleston","Saks Off 5th","Charleston County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Nankuli, O'ahu",,,,,,,,,,,,,,,,
"Kerema",58.89595185,22.943522343623506,"Kerema küla, Hiiumaa vald, Estonia","Kerema küla",,"Hiiumaa vald",,"Hiiu maakond",,,"Estonia","ee",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Wollongong",-34.4243941,150.89385,"Wollongong City Council, NSW, Australia",,,"Wollongong City Council",,,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Kane'ohe Bay, Mokapu, O'ahu",21.410365,-157.771652,"Kaneohe Bay Drive, Kaneohe, HI, United States of America",,,"Kaneohe",,"Honolulu","Hawaii","HI","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"On one of the sounds near Wilmington",,,,,,,,,,,,,,,,
"Long Branch, Monmouth County (offshore)",40.302368,-73.989403,"Long Branch, NJ, United States of America","Long Branch",,"Long Branch",,"Monmouth County","New Jersey","NJ","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"South Steyne, Manly",-33.7971473,151.2880967,"South Steyne, Sydney NSW 2095, Australia",,,"Sydney","South Steyne",,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Near Thursday Island",-10.579172,142.220923,"Thursday Island, Torres, Australia","Thursday Island",,"Thursday Island",,"Torres","Queensland","QLD","Australia","au",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Sailor Bay, Middle Harbour, Sydney",46.16551,-60.173398,"Sydney Indian Reserve No. 28A, NS, Canada",,,"Sydney Indian Reserve No. 28A",,"Cape Breton","Nova Scotia","NS","Canada","ca",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Onslow",34.7952348,-77.4215828,"Onslow, NC, United States of America",,,,,"Onslow","North Carolina","NC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Collaroy",-33.7382194,151.2996618,"Collaroy, Sydney, NSW, Australia",,,"Sydney",,,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ross River, Townsville",-19.477803,146.78764661931547,"Ross River, Townsville City, QLD, Australia","Ross River",,"Townsville City",,,"Queensland","QLD","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
